SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Cup";"";"Berner Cup - Junioren C - Runde  1";"511167";"Mi";"12.08.2020";"18:30";"BSC YB-Frauen U-15";"Jun.C 2/S";"10701";"FC Länggasse a";"Jun.C 1/S";"10311";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 2";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 2";
"Cup";"";"Berner Cup - Junioren B - Runde  1";"511147";"Mi";"12.08.2020";"20:15";"FC Länggasse";"Jun.B 2/S";"10311";"FC Dürrenast a";"Jun.B P";"10507";"Stadion Neufeld, Bern - Fussballfeld Stadion Neufeld 1";"Stadion Neufeld";"Bern";"Fussballfeld Stadion Neufeld 1";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126354";"Sa";"15.08.2020";"11:00";"SC Bümpliz 78 a";"Jun.D/9";"10303";"FC Länggasse a";"Jun.D/9";"10311";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 1";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 1";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111634";"Sa";"15.08.2020";"13:00";"AS Italiana";"Jun.C 1/S";"10333";"FC Länggasse a";"Jun.C 1/S";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Cup";"";"Berner Cup - Senioren 30+ - Runde  1";"511272";"Sa";"15.08.2020";"14:00";"FC Länggasse";"Sen.30+";"10311";"FC EDO Simme";"Sen.30+";"10521";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111671";"Sa";"15.08.2020";"16:00";"FC Weissenstein Bern";"2.";"10323";"FC Länggasse";"2.";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Cup";"";"Berner Cup - Frauen - Runde  1";"511532";"Sa";"15.08.2020";"19:45";"FC Roggwil / Steckholz";"4.LF";"10410";"FC Länggasse";"3.LF";"10311";"Bossloch, Roggwil - Hauptplatz";"Bossloch";"Roggwil";"Hauptplatz";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117495";"So";"16.08.2020";"10:15";"SC Grafenried";"3.";"10307";"FC Länggasse";"3.";"10311";"Riedweg, Grafenried - Süd";"Riedweg";"Grafenried";"Süd";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116665";"So";"16.08.2020";"11:00";"FC Köniz";"4.";"10309";"FC Länggasse";"4.";"10311";"Oberstufenzentrum Köniz, Köniz - Hauptplatz";"Oberstufenzentrum Köniz";"Köniz";"Hauptplatz";
"Trainingsspiele";"";"";"711692";"So";"16.08.2020";"12:30";"FC Länggasse b";"Jun.C 2/S";"10311";"FC Wyler c";"Jun.C 2/S";"10308";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112390";"So";"16.08.2020";"13:00";"Team Chiesetau b";"Jun.B 2/S";"10515";"FC Länggasse";"Jun.B 2/S";"10311";"Mutti, Biglen - Hauptplatz";"Mutti";"Biglen";"Hauptplatz";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126358";"Sa";"22.08.2020";"11:30";"FC Länggasse a";"Jun.D/9";"10311";"FC Bethlehem BE a";"Jun.D/9";"10393";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Juniorinnen FF-12 / Herbstrunde / -";"113880";"Sa";"22.08.2020";"13:45";"FC Spiez";"FF-12";"10505";"FC Länggasse";"FF-12";"10311";"ABC-Zentrum, Spiez - Hauptplatz";"ABC-Zentrum";"Spiez";"Hauptplatz";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119196";"Sa";"22.08.2020";"14:00";"FC Länggasse";"Sen.30+";"10311";"FC Sternenberg";"Sen.30+";"10397";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117502";"Sa";"22.08.2020";"16:30";"FC Länggasse";"3.";"10311";"FC Ins";"3.";"10213";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 3 - Herbstrunde / Gruppe  2";"126569";"So";"23.08.2020";"10:00";"FC Länggasse b";"Jun.D/9";"10311";"FC Breitenrain c";"Jun.D/9";"10330";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
